threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
p80,0.8,MNQ,60,1.0,24,1063,0.7328316086547507,1.0,0.46158625451288016,490.6661885471916,2.9182874262582734,0.6942615239887112,0.21919096895578552,0.08654750705550329,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0058287512871825755,1.0,0.45275805570726624,1.0566502463054233,0.5888993414863594
p80,0.8,MNQ,90,0.75,12,1013,0.5972359328726555,1.3333333333333333,0.3853213102521476,390.33048728542553,2.0141697424870877,0.5695952615992103,0.34945705824284307,0.08094768015794669,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.004660768079422643,1.3333333333333333,0.5,1.0252100840336382,0.6031589338598223
p80,0.8,MNQ,90,0.75,24,1013,0.6051332675222113,1.3333333333333333,0.40717866831901034,412.4719910071575,2.0958465727125435,0.5695952615992103,0.34945705824284307,0.08094768015794669,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.004660768079422643,1.3333333333333333,0.5,1.0252100840336382,0.6031589338598223
p80,0.8,MNQ,90,1.0,12,1013,0.702862783810464,1.0,0.4211707639935018,426.6459839254173,2.7020826893326433,0.6623889437314906,0.2102665350444225,0.12734452122408688,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.006214357439230191,1.0,0.5,1.0503355704698008,0.6031589338598223
p80,0.8,MNQ,90,1.0,24,1013,0.7137216189536032,1.0,0.4522677626190428,458.1472435330903,2.89657222507089,0.6752221125370188,0.2102665350444225,0.11451135241855874,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.006214357439230191,1.0,0.5,1.0503355704698008,0.6031589338598223
p90,0.9,CL,30,0.75,12,756,0.49074074074074076,-0.010582010582000916,0.10284514099391957,77.7509265914032,1.2385674428405375,0.36904761904761907,0.41798941798941797,0.21296296296296297,210.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.008727272727272696,1.3333333333333333,0.46666666666669615,0.7301587301587286,0.6216931216931217
p90,0.9,CL,30,0.75,24,756,0.47619047619047616,-0.05797101449275601,0.0880387674785819,66.55730821380791,1.1918184164817134,0.38756613756613756,0.42328042328042326,0.18915343915343916,210.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.008727272727272696,1.3333333333333333,0.5555555555555446,0.7580645161290248,0.6216931216931217
p90,0.9,CL,30,1.0,12,756,0.5992063492063492,0.1563055062166956,0.18144219400878178,137.17029867063903,1.62407707582917,0.4351851851851852,0.26455026455026454,0.3002645502645503,285.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.011636363636363596,1.0,0.46666666666669615,0.8292574622016222,0.6216931216931217
p90,0.9,CL,30,1.0,24,756,0.6018518518518519,0.4615384615384597,0.1888203650274488,142.7481959607513,1.5944069337482005,0.4537037037037037,0.2843915343915344,0.2619047619047619,285.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.011636363636363596,1.0,0.5555555555555446,0.9100107933081498,0.6216931216931217
p90,0.9,CL,60,0.75,12,584,0.6352739726027398,0.1751633986928111,0.23989652702930472,140.09957178511397,1.7809691029943453,0.3407534246575342,0.2910958904109589,0.3681506849315068,300.0,0.015505396787197034,0.9830508474576272,1181.0,1121.0,0.011629047590397738,1.3333333333333333,0.4150943396226385,0.743589743589744,0.6541095890410958
p90,0.9,CL,60,0.75,24,583,0.5746140651801029,0.3487179487179517,0.21425311802600397,124.90956780916032,1.5682243653787853,0.3670668953687822,0.3653516295025729,0.26758147512864494,300.0,0.01588352084712119,0.9830508474576272,1187.0,1127.0,0.011912640635340862,1.3333333333333333,0.48663101604277775,0.8131868131868262,0.6552315608919382
p90,0.9,CL,60,1.0,12,584,0.6917808219178082,0.21153846153847283,0.21371838617992372,124.81153752907545,1.9203566050895577,0.3715753424657534,0.19863013698630136,0.4297945205479452,347.5,0.015505396787197034,0.9830508474576272,1181.0,1121.0,0.015505396787196984,1.0,0.4150943396226385,0.7980392156862741,0.6541095890410958
p90,0.9,CL,60,1.0,24,583,0.62778730703259,0.3529411764705913,0.18606044701906801,108.47324061211665,1.6054623948560385,0.41680960548885077,0.2538593481989708,0.3293310463121784,365.0,0.01588352084712119,0.9830508474576272,1187.0,1127.0,0.01588352084712115,1.0,0.48663101604277775,0.8571428571428616,0.6552315608919382
