threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,event_day_bucket,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
p80,0.8,MNQ,weekend,30,0.75,24,675,0.5614814814814815,1.3333333333333333,0.27465325497305154,185.3909471068098,1.6434121161081328,0.5170370370370371,0.4192592592592593,0.0637037037037037,210.0,0.006271765768089743,1.0,1856.0,1826.0,0.004703824326067313,1.3333333333333333,0.6399506781750991,1.0197287299630118,1.0
p80,0.8,MNQ,weekend,30,1.0,12,675,0.7007407407407408,1.0,0.43990354038704854,296.93488976125775,2.7992144186239236,0.6814814814814815,0.21481481481481482,0.1037037037037037,215.0,0.006271765768089743,1.0,1856.0,1826.0,0.006271765768089749,1.0,0.6399506781750991,1.032812500000006,1.0
p80,0.8,MNQ,weekend,30,1.0,24,675,0.7451851851851852,1.0,0.4741991128810479,320.0844011947073,3.0123287136195818,0.7007407407407408,0.21481481481481482,0.08444444444444445,215.0,0.006271765768089743,1.0,1856.0,1826.0,0.006271765768089749,1.0,0.6399506781750991,1.0435097897026848,1.0
p80,0.8,MNQ,weekend,60,0.75,12,626,0.6150159744408946,1.3333333333333333,0.4909604284980934,307.34122823980647,2.492004890674155,0.6150159744408946,0.31629392971246006,0.06869009584664537,180.0,0.006629047279899103,1.0,1882.0,1822.0,0.00497178545992439,1.3333333333333333,0.45275805570726624,1.0174767886400902,1.0
p80,0.8,MNQ,weekend,60,0.75,24,626,0.6629392971246006,1.3333333333333333,0.5107975605372794,319.75927289633694,2.582890829384197,0.6150159744408946,0.31629392971246006,0.06869009584664537,180.0,0.006629047279899103,1.0,1882.0,1822.0,0.00497178545992439,1.3333333333333333,0.45275805570726624,1.0174767886400902,1.0
p80,0.8,MNQ,weekend,60,1.0,12,626,0.6837060702875399,1.0,0.42188752807771024,264.1015925766466,2.738904832408874,0.6629392971246006,0.21405750798722045,0.12300319488817892,185.0,0.006629047279899103,1.0,1882.0,1822.0,0.006629047279899186,1.0,0.45275805570726624,1.0401524010570158,1.0
p80,0.8,MNQ,weekend,60,1.0,24,626,0.731629392971246,1.0,0.45356465899389437,283.93147653017786,2.8879020198666256,0.6837060702875399,0.21405750798722045,0.10223642172523961,185.0,0.006629047279899103,1.0,1882.0,1822.0,0.006629047279899186,1.0,0.45275805570726624,1.0443458980044364,1.0
p80,0.8,MNQ,weekend,90,0.75,12,611,0.5728314238952537,1.3333333333333333,0.3263316845916269,199.38865928548404,1.8148442474949988,0.5400981996726678,0.36661211129296234,0.09328968903436989,150.0,0.007301641586867413,0.9661016949152542,1906.0,1816.0,0.005476231190150602,1.3333333333333333,0.5300751879699619,1.0152963671128132,1.0
p80,0.8,MNQ,weekend,90,0.75,24,611,0.5891980360065466,1.3333333333333333,0.3564169307633875,217.77074469642974,1.913054535795841,0.5400981996726678,0.36661211129296234,0.09328968903436989,150.0,0.007301641586867413,0.9661016949152542,1906.0,1816.0,0.005476231190150602,1.3333333333333333,0.5300751879699619,1.0152963671128132,1.0
p80,0.8,MNQ,weekend,90,1.0,12,611,0.6955810147299509,1.0,0.40657910589140306,248.41983369964726,2.6723560280129024,0.6415711947626841,0.19639934533551553,0.16202945990180032,155.0,0.007301641586867413,0.9661016949152542,1906.0,1816.0,0.007301641586867469,1.0,0.5300751879699619,1.0261282660332436,1.0
p80,0.8,MNQ,weekend,90,1.0,24,611,0.7119476268412439,1.0,0.4498779841506371,274.8754483160393,2.9312062235449408,0.662847790507365,0.19639934533551553,0.1407528641571195,155.0,0.007301641586867413,0.9661016949152542,1906.0,1816.0,0.007301641586867469,1.0,0.5300751879699619,1.0398481973434606,1.0
p90,0.9,CL,weekday,30,0.75,12,286,0.5,0.06547249564010006,0.15578516445636642,44.5545570345208,1.3567170043260421,0.4230769230769231,0.42657342657342656,0.15034965034965034,210.0,0.010769616204461818,0.9655069878085043,448.5,418.5,0.008077212153346343,1.3333333333333333,0.4868421052631606,0.8019683778353701,0.0
p90,0.9,CL,weekday,30,0.75,24,286,0.493006993006993,-0.04301075268816679,0.15041032443316393,43.01735278788489,1.3349401246801142,0.4370629370629371,0.42657342657342656,0.13636363636363635,210.0,0.010769616204461818,0.9655069878085043,448.5,418.5,0.008077212153346343,1.3333333333333333,0.5476190476190381,0.8414634146341505,0.0
p90,0.9,CL,weekday,30,1.0,12,286,0.5804195804195804,0.2638888888889059,0.18783536446358104,53.72091423658418,1.5992239542720812,0.4755244755244755,0.2937062937062937,0.23076923076923078,255.0,0.010769616204461818,0.9655069878085043,448.5,418.5,0.01076961620446179,1.0,0.4868421052631606,0.9577380952380937,0.0
p90,0.9,CL,weekday,30,1.0,24,286,0.5909090909090909,0.5975877192982441,0.19106060608885733,54.6433333414132,1.577372250384896,0.48951048951048953,0.3076923076923077,0.20279720279720279,255.0,0.010769616204461818,0.9655069878085043,448.5,418.5,0.01076961620446179,1.0,0.5476190476190381,0.9783132530120474,0.0
