threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share,ranking_bucket
p80,0.8,CL,60,1.0,12,731,0.6320109439124487,0.1555555555555516,0.1311403842167015,95.8636208624088,1.4320255630651344,0.3748290013679891,0.2763337893296854,0.3488372093023256,290.0,0.013895781637716986,0.9649122807017544,999.0,939.0,0.013895781637717002,1.0,0.48663101604277775,0.7980392156862741,0.5718194254445964,worst
p80,0.8,CL,60,0.75,24,730,0.5315068493150685,0.3487179487179517,0.1391455266792151,101.57623447582702,1.3236722241012133,0.36575342465753424,0.42054794520547945,0.2136986301369863,275.0,0.013895781637716986,0.9649122807017544,1001.5,941.5,0.010421836228287752,1.3333333333333333,0.5000000000000111,0.8000000000000022,0.5726027397260274,worst
p80,0.8,MES,30,1.0,24,1117,0.5595344673231871,0.4306498545101871,0.1401002058743865,156.49192996168972,1.3708935866780494,0.4986571172784244,0.35362578334825423,0.1477170993733214,300.0,0.004100487037439926,0.9830508474576272,1075.0,1045.0,0.004100487037440034,1.0,0.6454545454544618,1.0,0.5980304386750224,worst
p90,0.9,CL,90,0.75,24,480,0.58125,0.21978021978022086,0.14349359087460026,68.87692361980812,1.3572826265568645,0.2833333333333333,0.36666666666666664,0.35,470.0,0.023563218390804663,0.9824561403508771,1232.0,1142.0,0.017672413793103456,1.3333333333333333,0.45786516853932824,0.8146341463414654,0.6395833333333333,worst
p90,0.9,MES,30,1.0,12,973,0.5477903391572456,0.4599303135888669,0.14903252505899606,145.00864688240316,1.412079158750146,0.49640287769784175,0.31551901336073995,0.1880781089414183,330.0,0.0044627469477351855,0.9836065573770492,1173.0,1143.0,0.004462746947735131,1.0,0.5713020372010688,1.0,0.6361767728674204,worst
p80,0.8,CL,90,1.0,12,649,0.6348228043143297,0.14146341463414266,0.15041877301471246,97.62178368654838,1.5526389811266668,0.3420647149460709,0.23882896764252695,0.41910631741140214,280.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.015506856337306084,1.0,0.4628099173553762,0.7560975609756094,0.5454545454545454,worst
p80,0.8,MES,90,1.0,24,966,0.5797101449275363,0.6042553191489339,0.15076898190311264,145.6428365184068,1.4075689156767308,0.484472049689441,0.3333333333333333,0.18219461697722567,265.0,0.004864720778355203,0.9661016949152542,1152.0,1062.0,0.0048647207783552564,1.0,0.5759162303664793,1.0,0.6159420289855072,worst
p90,0.9,MES,90,1.0,12,779,0.582798459563543,0.46950354609929035,0.15239780735607367,118.71789193038138,1.438330202498629,0.4762516046213094,0.2939666238767651,0.22978177150192555,325.0,0.005603183427451142,0.9830508474576272,1166.0,1076.0,0.0056031834274511035,1.0,0.4912280701754366,0.9590443686006811,0.6071887034659821,worst
p80,0.8,CL,60,0.75,12,731,0.5800273597811217,0.12991452991452818,0.16332590759477514,119.39123845178062,1.440937262098192,0.3447332421340629,0.35704514363885087,0.2982216142270862,275.0,0.013895781637716986,0.9649122807017544,999.0,939.0,0.010421836228287752,1.3333333333333333,0.48663101604277775,0.743589743589744,0.5718194254445964,worst
p90,0.9,CL,90,0.75,12,481,0.6278586278586279,0.15962441314554132,0.16387232165218177,78.82258671469943,1.531823057123515,0.25363825363825365,0.27234927234927236,0.47401247401247404,470.0,0.023563218390804663,0.9824561403508771,1226.0,1136.0,0.017672413793103456,1.3333333333333333,0.31707317073170477,0.7499999999999951,0.6382536382536382,worst
p90,0.9,MES,30,1.0,24,973,0.5714285714285714,1.0,0.16700095576740978,162.49192996168972,1.4683680311857583,0.5015416238437821,0.328879753340185,0.1695786228160329,330.0,0.0044627469477351855,0.9836065573770492,1173.0,1143.0,0.004462746947735131,1.0,0.5999999999999536,1.0,0.6361767728674204,worst
p80,0.8,MES,60,1.0,12,1055,0.5706161137440758,1.0,0.18037634713447329,190.29704622686933,1.5144600314357113,0.5127962085308057,0.31563981042654027,0.17156398104265402,300.0,0.004530969174306287,0.9836065573770492,1128.0,1068.0,0.004530969174306384,1.0,0.5772357723577713,1.0020366598777986,0.6085308056872037,worst
p90,0.9,CL,30,1.0,12,756,0.5992063492063492,0.1563055062166956,0.18144219400878178,137.17029867063903,1.62407707582917,0.4351851851851852,0.26455026455026454,0.3002645502645503,285.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.011636363636363596,1.0,0.46666666666669615,0.8292574622016222,0.6216931216931217,worst
p80,0.8,CL,30,1.0,12,847,0.5997638724911453,0.19580419580419567,0.1829812437844792,154.98511348545387,1.6058909397468182,0.4510035419126328,0.27863046044864226,0.27036599763872493,240.0,0.010765090349865503,0.9824561403508771,1002.0,972.0,0.01076509034986548,1.0,0.46666666666669615,0.8965517241379276,0.5749704840613932,worst
