strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,UNG,1748,0.5572082379862701,0.5384615384615384,-0.13114123309466244,-229.23487544946997,0.6923649415855936,0.004705885247757224,0.5846153846153846,,,,,0.11613272311212815,0.17677345537757438,5.249999999999902,5.816666666666604
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,USO,1778,0.5714285714285714,0.5384615384615384,-0.11477592562356435,-204.0715957586974,0.7244945935034177,0.0025384656573331776,0.5491935483870968,,,,,0.11304836895388076,0.18503937007874016,5.507575757575693,5.823543233082752
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,GLD,1379,0.5692530819434373,0.5384615384615384,-0.07944426475051201,-109.55364109095606,0.786172424591443,0.005882225261010121,0.9491525423728814,,,,,0.11747643219724438,0.28426395939086296,1.8946666666666716,1.5025380710659586
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,QQQ,1379,0.6925308194343728,0.5384615384615384,0.07109609068224734,98.04150905081909,1.2393797433386748,0.004886117342864704,0.9838709677419355,,,,,0.2124728063814358,0.34662799129804206,1.5733333333333424,2.5882352941177915
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,SLV,1372,0.5502915451895044,0.3086913086913035,-0.11346183027387081,-155.66963113575076,0.7083815281902127,0.010151312009193614,0.9491525423728814,,,,,0.13338192419825073,0.26822157434402333,2.294117647058828,1.5789473684210567
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,SPY,1375,0.64,0.5384615384615384,0.0400500853166618,55.06886731040997,1.1334937582733802,0.0034060148139334334,0.9672131147540983,,,,,0.20581818181818182,0.2923636363636364,1.7857142857142987,2.778067885117475
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,UNG,1361,0.6465833945628214,0.5384615384615384,0.004917355672459961,6.692521070218007,1.0151445494251734,0.014233241505968719,0.9814814814814815,,,,,0.16311535635562086,0.27553269654665685,2.3749999999999916,2.2571428571428593
fade_credit_72h,credit_spread_proxy,72,all,0.0,delayed,USO,1376,0.6351744186046512,0.5384615384615384,-0.018951224898906265,-26.07688546089502,0.9456965422073315,0.007176079734219298,0.819672131147541,,,,,0.1816860465116279,0.3117732558139535,2.215686274509773,2.4999999999999916
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,GLD,399,0.5989974937343359,0.5384615384615384,-0.06441471454656128,-25.701471104077953,0.8286750418690062,0.004544153427794351,0.8983050847457628,,,,,0.16541353383458646,0.2907268170426065,2.485507246376825,2.324324324324302
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,QQQ,416,0.5625,0.5384615384615384,-0.11283879991985539,-46.94094076665984,0.7219890423321326,0.004931557066192083,0.9016393442622951,,,,,0.1658653846153846,0.27163461538461536,2.4774477193630933,2.5214400150786656
fade_credit_72h,credit_spread_proxy,72,p80,0.8,immediate,SLV,347,0.6167146974063401,0.5384615384615384,-0.039338774563710315,-13.650554773607478,0.8907219299635682,0.009207240948813977,0.9016393442622951,,,,,0.17579250720461095,0.28530259365994237,2.5643274853801143,2.807692307692331
